"ID";"Lake";"object_annotation_category";"Community";"Major_mm";"Taille0.8";"Taille1"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,65296;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,73352;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,68582;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,52682;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5565;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57664;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61798;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,52258;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56074;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66568;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,4717;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,583;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55968;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61268;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50138;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62964;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58194;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66356;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59678;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,52258;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,67098;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64448;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56922;"Petit";"Petit"
